sample_id,C,m,sigma_scale,life_cycles
259,8.280100023964818e-11,2.945092438089354,0.9815272331088126,232218.0933817569
260,9.371353205784322e-11,2.652270950827002,1.0145906383713155,387545.55176408915
261,9.344268009591403e-11,2.811522075284401,1.0559543542425514,232910.33558884423
262,9.822883094041206e-11,2.903820512935328,0.976660540597824,219837.2840911305
263,9.066885869933745e-11,2.8705020113880213,1.043388776026309,213841.84229109212
264,1.0052676981643334e-10,2.937761072975677,0.9664425602434664,203820.17849999198
265,1.0572207185107036e-10,2.9689366555669707,0.976119885333341,174345.95372782715
266,9.749212154561728e-11,2.950845173642968,0.9600331767837513,207581.889722017
267,9.937686152063236e-11,2.8685725057445537,1.0171323599597402,210928.39670148326
268,9.651029133674753e-11,2.705366298887952,1.0578984526282775,294081.59602746204
269,9.600081017367758e-11,2.8444518751145185,0.9907943533941418,249906.13972060196
270,8.907304287798866e-11,2.9316368148138956,0.9364375420043798,256120.6760383235
271,9.903834491206376e-11,2.780955274744952,0.9458646588856592,322620.20388492435
272,9.50660486552305e-11,2.9531274730121577,1.019729971068527,177152.6755324155
273,1.1609441576573371e-10,2.9808393297267304,1.0922058206697134,110309.92874208004
274,1.1110420706376233e-10,2.9026866976295844,1.0196862499657198,171978.4232299049
275,9.970412690454241e-11,2.5836220133687604,0.9806551724674374,472803.6714945044
276,8.867465078693023e-11,2.76219116372882,1.0383091983425141,291535.4793001415
277,8.532084986895919e-11,3.0786189158556083,0.9880250682206627,159076.89208572506
278,1.0743497234965311e-10,2.8353462206971622,0.9810857391317896,234872.2356865656
279,9.852239256141253e-11,2.6915856776871006,0.9520770447152368,396271.6909210427
280,1.0060937667255947e-10,3.0135247388310273,1.0704224422123179,124380.84465017129
281,7.925197452504775e-11,2.8913355591543675,0.8730396041252169,388599.7324757368
282,1.0490340942295854e-10,3.0004940488957725,1.0398929600139635,134493.71660257358
283,1.003624352468579e-10,2.9176958675219367,0.9768127531101232,207852.87369950413
284,8.533986542962102e-11,2.935855913621217,0.9794829634274194,231905.91024411522
285,9.147336184848049e-11,2.9263009247714518,1.0846157578058906,164362.89257552565
286,9.853168516182259e-11,2.9597488311921003,0.9642934453899974,198364.19776748423
287,9.650368126421995e-11,3.11774304485561,0.9659965422985795,137056.5978971654
288,9.319515661628588e-11,2.9871006335959187,0.9934802880540234,179457.70215275773
289,9.500651262656678e-11,2.7319660682154465,1.0206923692906118,307806.0497814155
290,9.358101716921391e-11,2.9346661515278907,0.9779072108853565,213107.63349354453
291,9.74646001161837e-11,3.004148076810322,0.9213070534732057,206359.60727990646
292,1.1012632294073431e-10,3.0102700806536147,0.9567150909559117,160662.33769152252
293,7.136007896705955e-11,2.84733950169409,1.0640666928232259,272435.3702285802
294,9.372623746070703e-11,3.006494444518813,1.0037388394567757,164922.78514351355
295,9.76945192451755e-11,2.9827742399551207,1.022554364185191,158767.38113918397
296,9.884154230099616e-11,3.147251743696973,0.9869289396413481,116421.44230545759
297,9.242962001931562e-11,2.814999826375149,0.9670251151913365,298974.7758264412
298,7.913547088820561e-11,2.8392599423599574,1.0838784724937707,237982.67310382417
299,9.914875664365545e-11,2.8593880951540047,0.990590407147446,233319.35326295858
300,1.1258256205597618e-10,2.8409777849961224,0.9778315060236437,223135.33652184767
301,8.127493051280509e-11,2.8009979250236396,1.054807118317767,275885.56447275454
302,1.0429274893150261e-10,2.613732449432626,0.9638819820566308,438742.2095376054
303,9.284615785802023e-11,2.8465300526276867,0.9702636328113001,272858.38165898266
304,9.541128628004307e-11,2.9269358059699906,1.0005123342008448,199246.8225036345
305,8.58921742972421e-11,2.8406778154494092,1.000013505204409,274620.89393477293
306,9.278922074538359e-11,3.083538118352911,1.0129805673951606,133816.18193860076
