sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
161,8.903782978045678e-11,2.7956046475278,0.9336033743003279,476287497.91426516,,False
162,1.1643330943137758e-10,3.0201158348652033,1.026662601060688,150511881.85488978,43.54600723118119,True
163,8.81146878794459e-11,2.953342154102735,0.9327264451033552,330803059.877017,,False
164,1.0404949635586892e-10,2.9504993375678876,0.9887216489465698,224477018.58609173,44.882148525720424,True
165,8.733189909036455e-11,3.014721142114245,1.0152075223093089,210672510.6190055,43.93888862057308,True
166,1.0494310092359275e-10,3.1712649248238725,0.9431203002318655,159529263.37724352,,False
167,9.969552927461629e-11,2.7190773896089846,0.9487868832820568,489240296.7922931,,False
168,9.449627618248233e-11,2.8161623419122894,0.9952939467716091,335297609.7291201,44.643401606685025,True
169,9.560867974909984e-11,2.828382491582548,1.0251825143762028,294423011.6832246,43.59627668494559,True
170,8.971403812387786e-11,2.804918037761731,1.0530759385206878,306865506.2924851,42.67267036180129,True
171,1.0028229313422798e-10,2.782241675239629,1.0303526717385276,309694416.0413232,43.42130707777728,True
172,9.163215858872851e-11,2.8600346935944634,1.0036828297496097,303084732.29682654,44.34320745610467,True
173,8.423418466783441e-11,2.7683396284710597,0.9626902623221475,493724981.2254081,,False
174,8.373179928653166e-11,2.9235042367537414,0.9464546502077741,358216850.5612545,,False
175,9.765684401013236e-11,2.8951698321428614,0.9744561455835427,302191712.8705468,,False
176,1.1115927606154019e-10,2.9381028664763655,1.0204967792490283,196316997.30541566,43.75638388164056,True
177,9.753591949030501e-11,2.9407728451638255,1.0168311853313672,224772201.35822183,43.882662494439096,True
178,9.486107206934513e-11,2.950300685342668,0.8950049007137438,349607902.6416211,,False
179,9.874393094018441e-11,2.852659106317612,0.9607161485866249,345195864.4802718,,False
180,1.0853761672038552e-10,3.102114340263367,1.0602253775803079,119068542.61673196,42.44376285753927,True
181,9.810607201309302e-11,2.91344311164821,1.003960752390207,248411411.59451175,44.333347916310025,True
182,9.205509858399612e-11,2.7037515247375206,0.9291495543448507,581856777.1911907,,False
183,1.0662037161657494e-10,2.7897624254233784,1.1177910590799076,224800100.48398194,40.707358886064405,True
184,1.001160618092315e-10,2.7159497010972187,0.9985529133842618,399840803.0119222,44.52618114916126,True
185,1.1074325752316153e-10,2.891733462915131,1.0192166979656705,221549438.09773588,43.80037908463063,True
186,9.775905059733031e-11,2.8778194775946666,1.0199762378022568,259070182.07846022,43.77426108452904,True
187,8.42450972954832e-11,2.8431574302100544,0.9816202266919907,389455123.6998639,,False
188,8.286567168724162e-11,3.0910926112400516,0.9636213159089303,228977739.1882751,,False
189,1.1184890814942e-10,2.944898287407691,1.106083749253297,149578974.82641578,41.04585556764232,True
190,1.1254719091951966e-10,2.9626098361446336,1.0501602934808876,167046848.2513203,42.76691687978651,True
191,9.427661555248704e-11,2.79689265120579,1.0410968600554338,308148186.6147579,43.06325803228,True
192,9.232140171709452e-11,2.790085510866899,1.0288144595859106,331439641.439947,43.47317982198025,True
193,1.1002986520552515e-10,2.893680549909696,0.9498341304819158,289875968.61525226,,False
194,8.537236145238252e-11,2.9073007139652227,1.0638765095870137,242614178.95487934,42.32804934770104,True
195,8.741062061802407e-11,2.704368843288554,0.9578433670994125,563552982.7369485,,False
196,1.0217593722901483e-10,2.871969297715047,1.0141643399075322,255839646.12387288,43.975108169379936,True
197,9.221179082054794e-11,2.8914072082873505,0.9180305047267716,383779872.54239416,,False
198,9.595083007948732e-11,2.8684850834228874,0.897957057467624,414980592.0873537,,False
199,9.443094817416468e-11,2.8086609587653326,1.0159145601326558,321438413.68352723,43.91438238622623,True
200,9.924071566846977e-11,2.836046481807886,0.9595450366402546,358824951.62533283,,False
201,1.0951182586861169e-10,2.8723140806427203,0.9005416214351363,357365671.30895853,,False
202,9.686961510625677e-11,2.899080002361005,1.0270304751473538,243031730.13838133,43.53353528951107,True
203,1.0218181241545784e-10,2.950479158255057,1.1060040385525394,161484036.8188907,41.048184827002984,True
204,7.631834783010219e-11,2.9980856204950874,1.0694780129290031,213137852.40079454,42.15205956058282,True
205,9.553230334147087e-11,2.860565227647275,0.9871341057367163,305320888.43252903,44.940294720782376,True
206,8.790498940518844e-11,2.8443843803884645,1.0004422653348473,331403256.5476401,44.458573521164084,True
207,8.429939461993318e-11,2.9337655673534306,1.0443853128391956,243590602.37315887,42.95514310389891,True
208,8.7569737277484e-11,2.9510844916410854,1.0561064009917454,217056357.17634076,42.57526396191341,True
209,9.279241496927221e-11,2.8465799566741117,0.9828232140587151,349413246.7815323,,False
210,1.0479266440661774e-10,2.9690393476966173,1.0017088857862286,204616319.11633945,44.413392204213835,True
211,8.326662990970019e-11,2.9879585341155974,1.0150307403382268,235974797.40347132,43.94502129481827,True
212,9.629406232890641e-11,3.0191686465658676,1.0276938160139415,181834019.6588327,43.5110687788201,True
213,9.135197343999765e-11,3.0678320906719825,0.9933461778994367,189779478.73216626,44.71382734033854,True
214,9.285433829412518e-11,2.803358386134056,0.9939957377465628,353362701.2351372,44.69031044585981,True
215,1.056264751229242e-10,2.8913898209332514,1.0689916164877193,201032898.8233618,42.16726819343334,True
216,1.011659081952377e-10,2.8911277696618662,1.0604760351221443,215211325.2782062,42.43579342003841,True
217,1.0883902183145034e-10,2.8801926431467493,1.0238705286718044,228684924.61132777,43.64095829531772,True
218,9.451674547920096e-11,2.8250737080389867,1.0859554535011464,252792266.88069814,41.644891577000365,True
219,8.931895092796126e-11,2.741443799676893,0.9806777118886791,472494884.940248,,False
220,9.38509553579472e-11,2.8992679446029004,1.081148672431469,214343943.312538,41.79124499140939,True
221,9.832796919620373e-11,2.8131644340452087,1.0271257721767775,295490926.9872234,43.53030591544878,True
222,9.769510424115563e-11,2.8985993480747627,1.1635513061107294,164779687.20717707,39.52439345248692,True
223,8.558987450655968e-11,2.810595645830115,0.9403759036608761,468363552.30205584,,False
