sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
133,9.386666210785178e-11,2.922408922232005,0.9964341966437033,192712127.7145255,32.38047073544033,True
134,8.188025957277449e-11,2.810119425510702,0.9473608468444169,336679438.6696472,34.10548363600951,True
135,8.62504408204076e-11,2.854847526485671,0.969544842808834,268040871.03703052,33.30405077908507,True
136,9.900973293552188e-11,2.9148933910396657,1.0691436119520368,149794136.98031488,30.115739438716147,True
137,1.0404601505178607e-10,2.974630406230773,1.010082877131724,146982035.34273744,31.930488122732985,True
138,1.1516861656024116e-10,2.9219094834023576,0.9495424829316579,182515375.6931429,34.025008230195965,True
139,1.2397307967367038e-10,3.015911484933474,1.0152664143674346,109885802.63515009,31.762762314843194,True
140,9.997833055944958e-11,2.880503468940733,0.9926942984202728,202409424.99653372,32.505931038117936,True
141,8.650043404769411e-11,2.8567831470161,1.172702320112209,148452703.19793424,27.24216356763315,True
142,7.553235570497943e-11,3.160398510727939,1.0142561920671136,127796993.08867268,31.795315985262224,True
143,9.857003003850083e-11,2.929423764944203,0.9809687576466818,189401044.53286004,32.905482640074645,True
144,8.819576548502088e-11,2.8180518454021453,1.0710013958893552,212428395.8866493,30.061902566589556,True
145,9.201257030227502e-11,2.8205736237751933,0.9079481916353578,331871929.85575664,35.65229851406793,True
146,9.012387072902584e-11,2.795732008546866,1.004716007819055,265609819.72906783,32.105969642805526,True
147,9.464840749040271e-11,2.983656935585679,1.0997214247340537,120843046.78254162,29.21496155077459,True
148,1.0623341021556139e-10,2.853562270710676,0.9941900357820123,202302772.83174294,32.45564109934634,True
149,9.750766624747532e-11,2.902736247565649,0.913334947767596,254102197.51259127,35.427667129023774,True
150,9.44771055644286e-11,2.8836491325561733,0.9802041017794701,220968257.44989124,32.93187055238723,True
151,8.605772397287221e-11,2.9631492407940936,1.0727259020479518,151447699.0911114,30.012094848630028,True
152,7.992304373083817e-11,2.805325590711598,1.0188034798160386,280735252.11985344,31.649291713848125,True
153,9.133144407289603e-11,2.7824427713856985,0.9580571945243741,311695872.94603616,33.7144272872004,True
154,9.548368751214412e-11,2.9124297307181597,0.9657378596410489,213681860.34374934,33.438967102336896,True
155,1.1297212717036689e-10,2.95009592846999,0.9720149864425094,161856336.229087,33.21707625833725,True
156,9.725063540613971e-11,2.923253231309764,1.0180598942026997,173726348.22953454,31.673080809274502,True
157,1.0543429930582136e-10,2.8090546270902674,1.0669098066469327,183775638.76332086,30.180721317562117,True
158,9.120676225402415e-11,2.9577484842091395,1.0526211506399585,153587254.65844363,30.602905813273583,True
159,8.462453984239657e-11,2.8156139072904365,1.0228006091054564,255584497.0715371,31.522006634721045,True
